,pr_id,github_pr_id,commenter_id,head_commit_author_id,head_commit_committer_id,base_commit_author_id,base_commit_committer_id,head_repo_id,base_repo_id,base_repo_owner,head_repo_owner,head_commit_id,base_commit_id,pullreq_id,comment_created_at,comment_position,comment_id,comment_body
0,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-08 21:16:06+00:00,139,41581661,I think that I thought that this block of code was a bit messy while I was working on it. Will clean up while addressing any code review comments.
1,9771161,9038,117201,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-14 22:25:19+00:00,104,42071456,"seems it should be `[key, value]`. Will fix it while merging it."
2,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-09 18:34:26+00:00,131,41675080,"Ah, good point. I'll update to reflect this."
3,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-08 21:20:31+00:00,307,41581951,"I think that the issue here was that some aggregate _did_ call `update()` on the UnsafeRow, leading to problems. I'll go ahead and confirm this, though."
4,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-09 19:24:51+00:00,4,41679635,"Whoops, good catch. I removed this from `planAggregateWithOneDistinct` and it led to a failure in `single distinct column set`:    ```  [info]   == Results ==  [info]   !== Correct Answer - 4 ==                                                        == Sp"
5,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-12 21:49:39+00:00,54,41813748,Perhaps. Let me see if I'm convinced that the other tests are still valid even if we skip this distinct case.
6,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-08 21:09:55+00:00,4,41581219,"To explain what's going on here: it turns out that the refactoring in #8973 to lift this into `InterpretedAggregate` ended up introducing a bug due to lazy val initialization issues. To avoid this, I just pushed these copies to the leaves of our inheritan"
7,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-14 19:56:08+00:00,337,42058972,I'm folding this into the comments right now. Thanks for summarizing.
8,9771161,9038,117201,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-12 21:38:38+00:00,54,41813019,"Should we create a PR to include changes we made before we deleted this check? So, we can merge those changes earlier first and then spend time to figure out the current issue. What do you think?"
9,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-12 16:50:50+00:00,38,41788573,"One thought: instead of trying to preserve  `aggBufferAttributes` and `inputAggBufferAttributes` when returning a new instance, what if we also updated the other expressions which referenced those attributes? Maybe that would be easier."
10,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-08 21:21:01+00:00,351,41582004,Here's the other TungstenAggregate-specific change.
11,9771161,9038,117201,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-11 18:14:59+00:00,38,41714857,"Yeah, it will be good to return a new instance when we call `with*Offset`. For UDAF, I think it may make sense to add a `newInstance` interface so, if a user-defined one has internal states, we can create copies of it  at executor side. There is one diffi"
12,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-11 04:01:47+00:00,38,41705892,Good catch! I wonder whether we can address this treating ImperativeAggregtate instances as immutable and changing the `with*Offset` methods to return new instances. This seems a bit easier / safer than having to remember to clone.
13,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-08 21:15:34+00:00,131,41581609,"Whoops, I meant to clean this up. One concern that I have is whether it's safe to expose an UnsafeRow aggregation buffer to InterpretedAggregate functions. Even if UnsafeRow supports in-place updates for all of the data types used by the aggregate functio"
14,9771161,9038,117201,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-09 16:21:29+00:00,78,41661979,Maybe we should add comments to `allImperativeAggregateFunctionPositions` and `expressionAggInitialProjection` to explain why we do not need to update them after we update `allAggregateFunctions`?
15,9771161,9038,117201,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-09 17:17:14+00:00,328,41667789,"This `update` prevent us from using `UnsafeRow`, right?"
16,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-08 21:10:59+00:00,5,41581301,"These changes in `AggregationIterator.scala` are just some minor optimizations motivated by things that I noticed while working on the Tungsten version. Here, and down below, I noticed that we might be unnecessarily boxing via our use of GenericMutableRow"
17,9771161,9038,117201,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-14 16:27:23+00:00,337,42032759,"Had a discussion with @JoshRosen offline. Here is the explaining for this change.    Our `ImperativeAggregate` and `DeclarativeAggregate` are quite different. For an `ImperativeAggregate`, its correctness is based on the correctness of `mutableAggBufferOf"
18,9771161,9038,117201,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-09 16:20:57+00:00,78,41661916,"Since it will be a `var`, let's double check places where we use it and make sure they will be updated after we change it. I did a quick search, seems `allImperativeAggregateFunctionPositions` and `expressionAggInitialProjection` are the only two `val`s t"
19,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-08 21:17:42+00:00,162,41581748,"While `imperativeAggregateFunctions` can't as easily be defined at the top of the class (since it would need to be reset when switching to spilling), I think that I _could_ lift it out of this `match` statement and put it at the top of this function to cu"
20,9771161,9038,117201,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-09 14:06:51+00:00,131,41647560,"When we do hash-based aggregation, the buffer is an UnsafeRow anyway. So, I guess it is fine to let InterpretedAggregate functions to work with UnsafeRows directly. When a developer adds an new InterpretedAggregate function whose aggregate buffer data typ"
21,9771161,9038,117201,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-09 14:48:06+00:00,4,41651685,"Can we also remove it from `planAggregateWithOneDistinct`?    For `planAggregateWithoutPartial`, we can add the flag `usesTungstenAggregate` and whenever possible use `TungstenAggregate` (we can do it in a separate pr.)."
22,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-09 19:26:30+00:00,4,41679774,This also reminds me: are there planner tests that should be updated to assert that we're actually using the new Tungsten path? Let me check and see.
23,9771161,9038,117201,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-11 02:09:15+00:00,38,41704981,I tried  ```  val originalFunc = allAggregateExpressions(i).aggregateFunction  val baos = new ByteArrayOutputStream()  val funcOut = new ObjectOutputStream(baos)        funcOut.reset()  funcOut.writeObject(originalFunc)  val byteArray = baos.toByteArray  
24,9771161,9038,117201,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-09 17:55:51+00:00,328,41671522,Will https://github.com/apache/spark/blob/master/sql/core/src/main/scala/org/apache/spark/sql/execution/aggregate/udaf.scala#L99-L202 help?
25,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-08 21:12:33+00:00,32,41581411,This is one of the key changes: we need to be able to re-initialize the imperative aggregate functions after we fall back to the sort-based path.
26,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-10 18:18:21+00:00,72,41701104,"I did a bit of refactoring here to try to add some assertions to clarify what's going on (namely, show that there is only one column expression for the distinct aggregates)."
27,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-09 20:03:19+00:00,328,41682767,"As discussed offline, let's not make this change as part of this patch. There's a good chance that calling UnsafeRow's specific setters via this loop may wind up being just as slow as using a SpecificMutableRow. Note that this operator will still _output_"
28,9771161,9038,117201,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-09 16:04:47+00:00,351,41660046,Maybe add a comment at here?
29,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-09 17:51:12+00:00,328,41671105,"Oh, right; this was on my list of things to discuss. I think that we can handle this by calling the specific setter methods because we happen to know the data type. We might want to do this by building up an array of functions to perform the update, simil"
30,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-11 05:27:01+00:00,38,41706713,"I guess that this would also help to avoid potential issues caused by executor-side mutable state in the aggregate functions, should they wind up being used multiple times in different parts of a pipeline."
31,9771161,9038,6682,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-08 21:11:27+00:00,23,41581336,"Here, I noticed that `expressionAggEvalProjection` is always targeted at `aggregateResult`, so I decided to do the targeting once outside of the loop."
32,9771161,9038,117201,6682,6682,6682,117201,1110,8196280,13369,6682,328687714,328665310,9038,2015-10-09 14:16:11+00:00,4,41648516,"So, if anyone tries to move it back to `ImperativeAggregate`, he/she will see an test failure? Should we add a comment to `ImperativeAggregate` to explain why a leaf class needs to implement this?"
33,9796864,9066,117201,6682,6682,6391022,231317,1110,8196280,13369,6682,329396877,329244541,9066,2015-10-11 18:09:23+00:00,54,41714812,Maybe we can avoid of these two `copy`s?
34,9796864,9066,6682,6682,6682,6391022,231317,1110,8196280,13369,6682,329396877,329244541,9066,2015-10-11 18:15:23+00:00,54,41714859,Good catch. We only need these copies in `initialize` since we're buffering the result there. I'll fix this shortly.
